PlayerID,SeasonType,Season,Team,Number,Name,Position,PositionCategory,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnTouchdowns,KickReturns,KickReturnYards,KickReturnTouchdowns,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnTouchdowns,Interceptions,InterceptionReturnTouchdowns,FieldGoalsAttempted,FieldGoalsMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPosition,PlayerSeasonID,ExtraPointsAttempted,AuctionValue,AuctionValuePPR,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,AverageDraftPosition,AverageDraftPositionPPR,TeamID
20853,1,2021,PIT,56,J.Layne,CB,DEF,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,DB,990669810,0,,,0,0,0,0,0,0,0,,,28
20854,1,2021,ARI,19,J.Ledbetter,DE,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DL,990692480,0,,,0,0,0,0,0,0,0,,,1
20857,1,2021,ATL,30,C.Lindstrom,G,OFF,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OL,990669754,0,,,0,0,0,0,0,0,0,,,2
20858,1,2021,MIA,69,G.Little,OT,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OL,990671340,0,,,0,0,0,0,0,0,0,,,19
20859,1,2021,DEN,83,D.Lock,QB,OFF,6,3,111,67,787,60.4,7.1,11.7,2,2,80.42,44,9,52,10,53,5.3,2,23,1,1,1,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.88,QB,990671551,0,,,53.38,0,0,0,0,0,54.88,,,10
20861,1,2021,LAR,35,D.Long Jr.,CB,DEF,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,44.5,DB,990672127,0,,,0,0,0,0,0,0,0,,,32
20862,1,2021,TEN,81,D.Long Jr.,ILB,DEF,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,29,4,0,0,2,6,0,0,0,2,0,0,0,0,0,0,0,79.5,LB,990670694,0,,,0,0,0,0,0,0,0,,,34
20864,1,2021,NYG,41,J.Love,FS,DEF,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,30,1,0.5,2.5,2,7,0,1,0,1,0,0,0,0,0,0,0,68.25,DB,990671609,0,,,0,0,0,0,0,0,0,,,23
20868,1,2021,MIN,18,A.Mattison,RB,OFF,16,4,0,0,0,0,0,0,0,0,0,0,0,0,134,491,3.7,3,48,39,32,228,7.1,1,24,1,1,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.9,RB,990670947,0,,,109.9,0,0,0,0,0,132.9,,,20
20869,1,2021,NO,18,E.McCoy,OL,OFF,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OL,990671501,0,,,0,0,0,0,0,0,0,,,22
20870,1,2021,ATL,20,K.McGary,OT,OFF,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OL,990669755,0,,,0,0,0,0,0,0,0,,,2
20871,1,2021,DAL,6,C.McGovern,G,OFF,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OL,990667507,0,,,0,0,0,0,0,0,0,,,9
